CustomerID,InvoiceDate,Quantity,UnitPrice,InvoiceNo,Description
CUST_0300,2025-11-03,2,96.86,1000,Shoes
CUST_0412,2025-11-23,1,171.12,1001,Sunglasses
CUST_0076,2025-11-22,3,287.15,1002,Smartwatch
CUST_0407,2025-11-17,1,497.54,1003,Smartwatch
CUST_0287,2025-11-22,2,196.68,1004,Backpack
CUST_0180,2025-11-22,2,116.64,1005,Shoes
CUST_0284,2025-11-21,2,78.82,1006,Leather Wallet
CUST_0456,2025-11-09,1,5.53,1007,Pen Set
CUST_0124,2025-11-13,2,74.15,1008,Leather Wallet
CUST_0052,2025-11-10,1,8.48,1009,Coffee Mug
CUST_0254,2025-11-28,1,11.19,1010,Notebook
CUST_0183,2025-11-04,2,16.18,1011,Coffee Mug
CUST_0327,2025-11-15,8,9.37,1012,Hat
CUST_0488,2025-11-18,1,240.27,1013,Smartwatch
CUST_0350,2025-11-14,3,224.7,1014,Smartwatch
CUST_0121,2025-11-02,4,31.71,1015,Red T-shirt
CUST_0171,2025-11-08,5,416.1,1016,Smartwatch
CUST_0456,2025-12-01,1,46.26,1017,Leather Wallet
CUST_0173,2025-11-28,2,15.05,1018,Hat
CUST_0159,2025-11-26,1,37.85,1019,Hat
CUST_0117,2025-11-11,1,19.83,1020,Red T-shirt
CUST_0135,2025-11-08,3,19.87,1021,Hat
CUST_0059,2025-11-27,3,94.32,1022,Backpack
CUST_0379,2025-11-06,5,35.59,1023,Hat
CUST_0348,2025-11-26,2,30.06,1024,Red T-shirt
CUST_0131,2025-11-02,3,13.68,1025,Pen Set
CUST_0334,2025-11-07,2,11.8,1026,Coffee Mug
CUST_0347,2025-11-21,2,6.48,1027,Pen Set
CUST_0137,2025-11-20,2,302.25,1028,Smartwatch
CUST_0240,2025-11-02,5,28.76,1029,Red T-shirt
CUST_0315,2025-12-01,1,150.16,1030,Smartwatch
CUST_0014,2025-11-26,2,22.21,1031,Red T-shirt
CUST_0021,2025-11-05,1,26.74,1032,Hat
CUST_0216,2025-11-08,3,220.48,1033,Smartwatch
CUST_0205,2025-11-27,1,72.52,1034,Leather Wallet
CUST_0272,2025-11-23,1,121.03,1035,Shoes
CUST_0210,2025-11-26,1,48.06,1036,Leather Wallet
CUST_0005,2025-11-24,2,195.96,1037,Backpack
CUST_0339,2025-11-26,3,124.37,1038,Shoes
CUST_0219,2025-11-15,1,281.02,1039,Smartwatch
CUST_0320,2025-11-13,1,426.7,1040,Smartwatch
CUST_0190,2025-11-16,2,387.87,1041,Smartwatch
CUST_0246,2025-11-23,2,37.35,1042,Red T-shirt
CUST_0490,2025-11-02,8,22.36,1043,Hat
CUST_0068,2025-11-30,1,14.96,1044,Hat
CUST_0106,2025-11-27,2,19.53,1045,Notebook
CUST_0246,2025-11-12,2,149.63,1046,Backpack
CUST_0336,2025-11-15,1,9.24,1047,Notebook
CUST_0480,2025-11-22,5,25.92,1048,Red T-shirt
CUST_0445,2025-11-07,1,410.83,1049,Smartwatch
CUST_0267,2025-11-10,3,25.64,1050,Hat
CUST_0125,2025-11-25,2,54.97,1051,Shoes
CUST_0347,2025-11-25,1,26.56,1052,Hat
CUST_0351,2025-11-22,5,19.99,1053,Coffee Mug
CUST_0286,2025-11-15,2,151.44,1054,Smartwatch
CUST_0261,2025-11-08,1,17.11,1055,Hat
CUST_0024,2025-11-29,2,137.94,1056,Sunglasses
CUST_0415,2025-11-06,1,14.19,1057,Pen Set
CUST_0455,2025-11-20,1,39.46,1058,Hat
CUST_0323,2025-11-12,2,40.67,1059,Red T-shirt
CUST_0181,2025-11-23,2,19.52,1060,Coffee Mug
CUST_0358,2025-11-16,1,15.68,1061,Red T-shirt
CUST_0406,2025-12-01,1,45.46,1062,Sunglasses
CUST_0445,2025-11-05,2,6.76,1063,Notebook
CUST_0019,2025-11-11,1,40.26,1064,Hat
CUST_0328,2025-11-06,1,75.65,1065,Leather Wallet
CUST_0337,2025-11-26,1,2.84,1066,Pen Set
CUST_0370,2025-11-12,2,5.61,1067,Coffee Mug
CUST_0291,2025-11-30,1,37.77,1068,Hat
CUST_0424,2025-11-29,3,26.3,1069,Hat
CUST_0018,2025-11-25,1,144.03,1070,Smartwatch
CUST_0348,2025-11-11,4,44.25,1071,Hat
CUST_0217,2025-11-14,1,401.53,1072,Smartwatch
CUST_0033,2025-11-04,1,104.51,1073,Leather Wallet
CUST_0127,2025-11-03,8,20.24,1074,Red T-shirt
CUST_0496,2025-11-26,1,376.1,1075,Smartwatch
CUST_0165,2025-11-29,1,78.12,1076,Sunglasses
CUST_0180,2025-11-11,2,12.1,1077,Coffee Mug
CUST_0273,2025-11-12,3,17.74,1078,Pen Set
CUST_0281,2025-11-02,2,14.56,1079,Notebook
CUST_0147,2025-11-08,8,13.13,1080,Pen Set
CUST_0230,2025-11-02,2,32.53,1081,Hat
CUST_0022,2025-11-23,1,17.18,1082,Notebook
CUST_0261,2025-11-24,1,84.34,1083,Leather Wallet
CUST_0114,2025-11-21,2,90.29,1084,Shoes
CUST_0118,2025-11-26,5,201.99,1085,Smartwatch
CUST_0248,2025-11-02,1,127.36,1086,Shoes
CUST_0223,2025-11-23,1,12.41,1087,Pen Set
CUST_0196,2025-11-26,2,302.09,1088,Smartwatch
CUST_0096,2025-11-12,3,177.58,1089,Backpack
CUST_0432,2025-11-06,1,113.04,1090,Leather Wallet
CUST_0162,2025-12-01,2,117.36,1091,Smartwatch
CUST_0483,2025-11-17,1,55.65,1092,Backpack
CUST_0359,2025-11-11,4,32.72,1093,Backpack
CUST_0038,2025-11-09,1,23.87,1094,Red T-shirt
CUST_0164,2025-11-12,5,135.51,1095,Sunglasses
